,Mean Daily Return,Std Dev Daily Return,Annualized Volatility,Sharpe Ratio
AAPL,0.001165704034910118,0.01997481976179849,0.31709043343834353,0.9264152614508607
MSFT,0.001005696495159526,0.019217243366757297,0.30506428099587257,0.830761031586092
GOOGL,0.001018013320090471,0.02046935339689334,0.3249409115188499,0.7894954053759302
AMZN,0.0009374956755667364,0.022663011934624798,0.35976416123223615,0.6566771671576076
META,0.0012392206480311392,0.028298468342424988,0.44922425830854434,0.6951619319929042
